name,url,codes,char,category,group,subgroup
"curly loop","https://github.githubassets.com/images/icons/emoji/unicode/27b0.png?v8","27B0","➰","Symbols (other-symbol)","Symbols","other-symbol"
"currency exchange","https://github.githubassets.com/images/icons/emoji/unicode/1f4b1.png?v8","1F4B1","💱","Objects (money)","Objects","money"
"curry rice","https://github.githubassets.com/images/icons/emoji/unicode/1f35b.png?v8","1F35B","🍛","Food & Drink (food-asian)","Food & Drink","food-asian"
"face with symbols on mouth","https://github.githubassets.com/images/icons/emoji/unicode/1f92c.png?v8","1F92C","🤬","Smileys & Emotion (face-negative)","Smileys & Emotion","face-negative"
"custard","https://github.githubassets.com/images/icons/emoji/unicode/1f36e.png?v8","1F36E","🍮","Food & Drink (food-sweet)","Food & Drink","food-sweet"
"customs","https://github.githubassets.com/images/icons/emoji/unicode/1f6c3.png?v8","1F6C3","🛃","Symbols (transport-sign)","Symbols","transport-sign"
"cut of meat","https://github.githubassets.com/images/icons/emoji/unicode/1f969.png?v8","1F969","🥩","Food & Drink (food-prepared)","Food & Drink","food-prepared"
"cyclone","https://github.githubassets.com/images/icons/emoji/unicode/1f300.png?v8","1F300","🌀","Travel & Places (sky & weather)","Travel & Places","sky & weather"
"flag: Cocos (Keeling) Islands","https://github.githubassets.com/images/icons/emoji/unicode/1f1e8-1f1fe.png?v8","1F1E8 1F1E8","🇨🇨","Flags (country-flag)","Flags","country-flag"
"flag: Cocos (Keeling) Islands","https://github.githubassets.com/images/icons/emoji/unicode/1f1e8-1f1ff.png?v8","1F1E8 1F1E8","🇨🇨","Flags (country-flag)","Flags","country-flag"
"dagger","https://github.githubassets.com/images/icons/emoji/unicode/1f5e1.png?v8","1F5E1","🗡","Objects (tool)","Objects","tool"
"woman dancing","https://github.githubassets.com/images/icons/emoji/unicode/1f483.png?v8","1F483","💃","People & Body (person-activity)","People & Body","person-activity"
"people with bunny ears","https://github.githubassets.com/images/icons/emoji/unicode/1f46f.png?v8","1F46F","👯","People & Body (person-activity)","People & Body","person-activity"
"people with bunny ears","https://github.githubassets.com/images/icons/emoji/unicode/1f46f-2642.png?v8","1F46F","👯","People & Body (person-activity)","People & Body","person-activity"
"people with bunny ears","https://github.githubassets.com/images/icons/emoji/unicode/1f46f-2640.png?v8","1F46F","👯","People & Body (person-activity)","People & Body","person-activity"
"dango","https://github.githubassets.com/images/icons/emoji/unicode/1f361.png?v8","1F361","🍡","Food & Drink (food-asian)","Food & Drink","food-asian"
"sunglasses","https://github.githubassets.com/images/icons/emoji/unicode/1f576.png?v8","1F576","🕶","Objects (clothing)","Objects","clothing"
"direct hit","https://github.githubassets.com/images/icons/emoji/unicode/1f3af.png?v8","1F3AF","🎯","Activities (game)","Activities","game"
"dashing away","https://github.githubassets.com/images/icons/emoji/unicode/1f4a8.png?v8","1F4A8","💨","Smileys & Emotion (emotion)","Smileys & Emotion","emotion"
"calendar","https://github.githubassets.com/images/icons/emoji/unicode/1f4c5.png?v8","1F4C5","📅","Objects (office)","Objects","office"
"flag: Germany","https://github.githubassets.com/images/icons/emoji/unicode/1f1e9-1f1ea.png?v8","1F1E9 1F1EA","🇩🇪","Flags (country-flag)","Flags","country-flag"
"deaf person","https://github.githubassets.com/images/icons/emoji/unicode/1f9cf-2642.png?v8","1F9CF","🧏","People & Body (person-gesture)","People & Body","person-gesture"
"deaf person","https://github.githubassets.com/images/icons/emoji/unicode/1f9cf.png?v8","1F9CF","🧏","People & Body (person-gesture)","People & Body","person-gesture"
"deaf person","https://github.githubassets.com/images/icons/emoji/unicode/1f9cf-2640.png?v8","1F9CF","🧏","People & Body (person-gesture)","People & Body","person-gesture"
"deciduous tree","https://github.githubassets.com/images/icons/emoji/unicode/1f333.png?v8","1F333","🌳","Animals & Nature (plant-other)","Animals & Nature","plant-other"
"deer","https://github.githubassets.com/images/icons/emoji/unicode/1f98c.png?v8","1F98C","🦌","Animals & Nature (animal-mammal)","Animals & Nature","animal-mammal"
"flag: Denmark","https://github.githubassets.com/images/icons/emoji/unicode/1f1e9-1f1f0.png?v8","1F1E9 1F1F0","🇩🇰","Flags (country-flag)","Flags","country-flag"
"department store","https://github.githubassets.com/images/icons/emoji/unicode/1f3ec.png?v8","1F3EC","🏬","Travel & Places (place-building)","Travel & Places","place-building"
"derelict house","https://github.githubassets.com/images/icons/emoji/unicode/1f3da.png?v8","1F3DA","🏚","Travel & Places (place-building)","Travel & Places","place-building"
"desert","https://github.githubassets.com/images/icons/emoji/unicode/1f3dc.png?v8","1F3DC","🏜","Travel & Places (place-geographic)","Travel & Places","place-geographic"
"desert island","https://github.githubassets.com/images/icons/emoji/unicode/1f3dd.png?v8","1F3DD","🏝","Travel & Places (place-geographic)","Travel & Places","place-geographic"
"desktop computer","https://github.githubassets.com/images/icons/emoji/unicode/1f5a5.png?v8","1F5A5","🖥","Objects (computer)","Objects","computer"
"detective","https://github.githubassets.com/images/icons/emoji/unicode/1f575.png?v8","1F575","🕵","People & Body (person-role)","People & Body","person-role"
"diamond with a dot","https://github.githubassets.com/images/icons/emoji/unicode/1f4a0.png?v8","1F4A0","💠","Symbols (geometric)","Symbols","geometric"
"diamond suit","https://github.githubassets.com/images/icons/emoji/unicode/2666.png?v8","2666","♦","Activities (game)","Activities","game"
"flag: Diego Garcia","https://github.githubassets.com/images/icons/emoji/unicode/1f1e9-1f1ec.png?v8","1F1E9 1F1EC","🇩🇬","Flags (country-flag)","Flags","country-flag"
"disappointed face","https://github.githubassets.com/images/icons/emoji/unicode/1f61e.png?v8","1F61E","😞","Smileys & Emotion (face-concerned)","Smileys & Emotion","face-concerned"
"sad but relieved face","https://github.githubassets.com/images/icons/emoji/unicode/1f625.png?v8","1F625","😥","Smileys & Emotion (face-concerned)","Smileys & Emotion","face-concerned"
"diving mask","https://github.githubassets.com/images/icons/emoji/unicode/1f93f.png?v8","1F93F","🤿","Activities (sport)","Activities","sport"
"diya lamp","https://github.githubassets.com/images/icons/emoji/unicode/1fa94.png?v8","1FA94","🪔","Objects (light & video)","Objects","light & video"
"dizzy","https://github.githubassets.com/images/icons/emoji/unicode/1f4ab.png?v8","1F4AB","💫","Smileys & Emotion (emotion)","Smileys & Emotion","emotion"
"dizzy face","https://github.githubassets.com/images/icons/emoji/unicode/1f635.png?v8","1F635","😵","Smileys & Emotion (face-unwell)","Smileys & Emotion","face-unwell"
"flag: Djibouti","https://github.githubassets.com/images/icons/emoji/unicode/1f1e9-1f1ef.png?v8","1F1E9 1F1EF","🇩🇯","Flags (country-flag)","Flags","country-flag"
"dna","https://github.githubassets.com/images/icons/emoji/unicode/1f9ec.png?v8","1F9EC","🧬","Objects (science)","Objects","science"
"no littering","https://github.githubassets.com/images/icons/emoji/unicode/1f6af.png?v8","1F6AF","🚯","Symbols (warning)","Symbols","warning"
"dog face","https://github.githubassets.com/images/icons/emoji/unicode/1f436.png?v8","1F436","🐶","Animals & Nature (animal-mammal)","Animals & Nature","animal-mammal"
"dog","https://github.githubassets.com/images/icons/emoji/unicode/1f415.png?v8","1F415","🐕","Animals & Nature (animal-mammal)","Animals & Nature","animal-mammal"
"dollar banknote","https://github.githubassets.com/images/icons/emoji/unicode/1f4b5.png?v8","1F4B5","💵","Objects (money)","Objects","money"
"Japanese dolls","https://github.githubassets.com/images/icons/emoji/unicode/1f38e.png?v8","1F38E","🎎","Activities (event)","Activities","event"
